"","General Fund  -  Personal Services ","General Fund  -  Purchase of Services ","General Fund  -  Materials Supplies and Equipment ","General Fund  -  Contributions Indemnities and Taxes ","General Fund  -  Payments to Other Funds ","General Fund  -  Advances and Other Miscellaneous Payments ","General Fund  -  Personal Services-Employee Benefits ","General Fund  -  Debt Service ","Water Fund  -  Personal Services ","Water Fund  -  Purchase of Services ","Water Fund  -  Materials Supplies and Equipment ","Water Fund  -  Contributions Indemnities and Taxes ","Water Fund  -  Payments to Other Funds ","Water Fund  -  Personal Services-Employee Benefits ","Water Fund  -  Debt Service ","Water Residual Fund  -  Payments to Other Funds ","County Liquid Fuels Tax Fund  -  Personal Services ","County Liquid Fuels Tax Fund  -  Purchase of Services ","County Liquid Fuels Tax Fund  -  Payments to Other Funds ","Special Gasoline Tax Fund  -  Personal Services ","Special Gasoline Tax Fund  -  Purchase of Services ","Special Gasoline Tax Fund  -  Materials Supplies and Equipment ","Special Gasoline Tax Fund  -  Payments to Other Funds ","Special Gasoline Tax Fund  -  Personal Services-Employee Benefits ","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND  -  Purchase of Services ","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND  -  Materials Supplies and Equipment ","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND  -  Payments to Other Funds ","Hotel Room Rental Tax Fund  -  Contributions Indemnities and Taxes ","Grants Revenue Fund  -  Personal Services ","Grants Revenue Fund  -  Personal Services-Employee Benefits ","Grants Revenue Fund  -  Purchase of Services ","Grants Revenue Fund  -  Materials Supplies and Equipment ","Grants Revenue Fund  -  Payments to Other Funds ","Grants Revenue Fund  -  Contributions Indemnities and Taxes ","Grants Revenue Fund  -  Advances and Other Miscellaneous Payment","Aviation Fund  -  Personal Services ","Aviation Fund  -  Purchase of Services ","Aviation Fund  -  Materials Supplies and Equipment ","Aviation Fund  -  Payments to Other Funds ","Aviation Fund  -  Personal Services-Employee Benefits ","Aviation Fund  -  Contributions Indemnities and Taxes ","Aviation Fund  -  Debt Service ","Community Development Fund  -  Personal Services ","Community Development Fund  -  Purchase of Services ","Community Development Fund  -  Materials Supplies and Equipment ","Community Development Fund  -  Payments to Other Funds ","Community Development Fund  -  Personal Services-Employee Benefits ","Community Development Fund  -  Advances and Other Miscellaneous Payment","Car Rental Tax Fund  -  Purchase of Services ","Municipal Pension Fund  -  Personal Services ","Municipal Pension Fund  -  Personal Services-Employee Benefits ","Municipal Pension Fund  -  Purchase of Services ","Municipal Pension Fund  -  Materials Supplies and Equipment ","Municipal Pension Fund  -  Payments to Other Funds ","Housing Trust Fund  -  Personal Services ","Housing Trust Fund  -  Purchase of Services ","Acute Care Hospital Fund  -  Personal Services ","Acute Care Hospital Fund  -  Purchase of Services ","Acute Care Hospital Fund  -  Materials Supplies and Equipment ","Acute Care Hospital Fund  -  Payments to Other Funds ","Acute Care Hospital Fund  -  Personal Services-Employee Benefits "
"CITY REPRESENTATIVE",589381,481730,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE",2107565,2175481,26654,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63954000,49814,NA,10292701,NA,NA,NA,NA,47716649,103125441,13896000,24625000,NA,4205000,NA,935454,5707501,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE Ð ECONOMIC STIMULUS",NA,3354448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE Ð CONVENTION CENTER SUBSIDY",NA,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY",312767,482400,7000,3370688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW DEPARTMENT",7934005,8410034,248676,NA,NA,NA,NA,NA,2506206,691614,43010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1563803,432439,24357,NA,NA,NA,NA,154637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOARD OF ETHICS",961403,96000,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF SUSTAINABILITY",537979,279508,17840,NA,NA,NA,NA,NA,63874,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY PLANNING COMMISSION",2369484,129592,40652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98220,24984,355144,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,330000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOARD OF TRUSTEES OF THE FREE LIBRARY OF PHILADELPHIA",35454254,2324077,2302659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955527,197434,3739590,3378378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMISSION ON HUMAN RELATIONS",2127519,34657,28031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIVIL SERVICE COMMISSION",148882,29500,1094,NA,NA,10000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF HUMAN RESOURCES",5403578,952070,69932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF PROPERTY ASSESSMENT",10434139,1578126,782600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUDITING DEPARTMENT",8009512,397450,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOARD OF REVISION OF TAXES",819627,120200,15727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REGISTER OF WILLS",3563499,75486,33210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISTRICT ATTORNEY",33800485,2597257,546328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14404628,545000,1020850,61550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHERIFF",19008101,715267,418907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY COMMISSIONERS",5638818,3797350,603617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,NA,600000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIRST JUDICIAL DISTRICT OF PENNSYLVANIA",97254698,10656574,2391868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27347710,14321479,5404400,536595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WATER DEPARTMENT",NA,NA,NA,NA,NA,NA,NA,NA,107688919,159715792,48537569,501000,66700000,NA,NA,34724000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WATER DEPARTMENT Ð PHILADELPHIA WATER SEWER AND STORMWATER RATE BOARD",NA,NA,NA,NA,NA,NA,NA,NA,120000,850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð PROVISION FOR OTHER GRANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203800585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE SUSTAINABILITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63873,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT-VEHICLE PURCHASE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE-FRINGE BENEFITS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4082031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE Ð COMMUNITY DEVELOPMENT BLOCK GRANT Ð TO BE ALLOCATED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOARD OF PENSIONS AND RETIREMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3750000,3420000,2475000,138000,125000,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC HEALTH Ð STATE PAYMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149000000,NA,NA,NA
